Title,Organization,Price,Info
">>> Domina Microsoft WORD de CERO a EXPERTO 2022 OFICINA <<<
Orientado a trabajos de OFICINA o de EDUCACIÓN, para elaborar documentos en Microsoft Word de manera ágil y sencilla",Cesar Martinez,"Precio actual
14,99 €
Precio original
29,99 €",4 horas en total21 clasesTodos los niveles
"Microsoft Excel: Desde cero a pro
Te enseñará todo sobre Microsoft Excel","Marcelo Concha, Matias Perez","Precio actual
14,99 €
Precio original
24,99 €",5 horas en total41 clasesTodos los niveles
"GoodNotes 5, de cero a experto
Aprende a usar Goodnotes 5 de forma profesional, convirtiendo tu iPad en un papel digital inteligente.","Juan Carlos Hernandez Ramirez, Numpi Cursos","Precio actual
14,99 €
Precio original
94,99 €","2,5 horas en total58 clasesTodos los niveles"
"Equipos de Alto Desempeño con Microsoft Teams
Comienza tu formación con Celeritech",Andrés Roldán,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total54 clasesPrincipiante"
"Excel para principiantes
Aprende a utilizar Excel desde cero, funciones y comandos más útiles, así como crear tablas y gráficas dinámicas.",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
34,99 €","10,5 horas en total44 clasesPrincipiante"
"Power Automate Casos Prácticos (Nube y Escritorio)
Una guía con ejemplos exigentes para aprovechar el potencial de Power Automate Online y Desktop",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total38 clasesTodos los niveles"
"Manejo y análisis de información en Excel
curso intensivo básico-intermedio de Excel",Etraining S.A DE C.V,"Precio actual
14,99 €
Precio original
49,99 €","4,5 horas en total12 clasesPrincipiante"
"Ofimática para todos
Ofimática a tu alcance",Ricardo Naya,"Precio actual
14,99 €
Precio original
94,99 €","5,5 horas en total43 clasesTodos los niveles"
"SAP Debugger Completo en Español
Conviertete en experto en SAP Debugger.",Ricardo Naya,"Precio actual
14,99 €
Precio original
89,99 €","2,5 horas en total19 clasesTodos los niveles"
"Power Query en Excel
Microsoft Excel","Juan Carlos Hernandez Ramirez, Numpi Cursos","Precio actual
14,99 €
Precio original
94,99 €",14 horas en total74 clasesTodos los niveles
"Monday - Curso de Monday Completo para Principiantes
Monday - Crea tu propia plataforma personalizada - Crea plataformas para otros - Consultoría",José G Guevara L,"Precio actual
14,99 €
Precio original
19,99 €","2,5 horas en total22 clasesTodos los niveles"
"Masters en Excel 1
Excel Básico - Intermedio",José G Guevara L,"Precio actual
14,99 €
Precio original
19,99 €",2 horas en total25 clasesTodos los niveles
"Preparando tu ambiente de pruebas SAP Business One desde 0
Instala en tu computadora ""SAP Business One 10.0 version for MSSQL"" | Crystal Reports | DTW | Service Layer | SDK",Hernando Maz Ponce de León,"Precio actual
14,99 €
Precio original
19,99 €","6,5 horas en total44 clasesPrincipiante"
"Microsoft Forms - Curso Completo Forms - Office 365
Crea formularios y cuestionarios con Microsoft Forms. Recibe y analiza datos en tiempo real en cualquier dispositivo",Millennials Consulting,"Precio actual
14,99 €
Precio original
39,99 €",3 horas en total28 clasesTodos los niveles
"Analisis de Proyectos con Primavera P6 y Power BI
Crea tus dashboard tus proyectos de Primavera P6 con Power BI",Íñigo Martín,"Precio actual
14,99 €
Precio original
19,99 €",4 horas en total34 clasesTodos los niveles
"Costos y Cálculos de Pastelería con Excel
Calcula tus costos usando excel para controlar tu emprendimiento",Nestor Reyes,"Precio actual
14,99 €
Precio original
24,99 €","2,5 horas en total16 clasesTodos los niveles"
"COTIZADOR en Excel (SIN MACROS)
Crea Cotizaciones Automáticas en Excel",Sebastian Vallejo Jimenez,"Precio actual
14,99 €
Precio original
49,99 €","2,5 horas en total35 clasesTodos los niveles"
"Curso completo Word Última Versión
Aprenda sobre las últimas herramientas y posibilidades que brinda Word",Miguel Angel Franco García,"Precio actual
14,99 €
Precio original
19,99 €",4 horas en total15 clasesTodos los niveles
"ConTabilidad + Excel, Macros Crea tu Propio sistema Contable
No solo aprendes contabilidad, sino que aprendes a crear tu propio sistema en Excel + VBA + Access",Reinaldo Cruz F.,"Precio actual
14,99 €
Precio original
94,99 €","17,5 horas en total157 clasesTodos los niveles"
"COTIZADOR en Hoja de Calculo de GOOGLE Sheets (SIN MACROS)
Cotizador en Excel de Google",Ivan AlsiGo,"Precio actual
14,99 €
Precio original
94,99 €","2,5 horas en total24 clasesTodos los niveles"
"Microsoft Excel: Desde cero para principiantes
Juan Carlos, con más de 10 años de experiencia en Business Intelligence, te enseñará todo sobre Microsoft Excel",Kenneth Trigueros Ramírez,"Precio actual
14,99 €
Precio original
89,99 €","6,5 horas en total99 clasesPrincipiante"
"Curso De Excel Definitivo - De Principiante a Experto
Inmersión en Excel COMPLETO. Convierte Excel en tu mano derecha con nuestro programa inmersivo desde cero a EXPERTO",Alvaro Guerra,"Precio actual
14,99 €
Precio original
19,99 €",16 horas en total182 clasesTodos los niveles
"Microsoft Planner - Curso Completo Planner - Office 365
Organizar y gestionar las tareas de un equipo es muy sencillo con Microsoft Planner",Diana Padilla,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total28 clasesTodos los niveles
"Power BI para Reportes y Cuadros de Mando
Una guía pasos de Power BI para el desarrollo de informes empresariales",CeleriTech Academy,"Precio actual
14,99 €
Precio original
49,99 €",12 horas en total135 clasesTodos los niveles
"Curso Excel - Funciones, Tablas Dinámicas y Dashboard
Curso de Excel: Fórmulas, Funciones, Gráficos, Tabla Dinámica y Dashboard.",Emilio Doporto,"Precio actual
14,99 €
Precio original
94,99 €","3,5 horas en total51 clasesIntermedio"
"Google Sheets. La hoja de Cálculo - Formulas y Funciones
Aprende a usar La hoja de Cálculo de Google con ejercicios de fórmulas y funciones, además desde tu dispositivo móvil.",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
34,99 €",6 horas en total34 clasesPrincipiante
"Excel para principiantes
Excel para personas que trabajen en cualquier empresa.",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
94,99 €",8 horas en total6 clasesIntermedio
"Curso Oracle Netsuite Funcional + WMS en Español
Aprende a usar Netsuite ERP N° 1 en la nube",Etraining S.A DE C.V,"Precio actual
14,99 €
Precio original
49,99 €","9,5 horas en total46 clasesTodos los niveles"
"Fundamentos de Excel 365 para la Oficina
Domina la herramienta de oficina por excelencia",Ricardo Naya,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total61 clasesPrincipiante
"Curso completo de Publisher Última Versión
Aprende a crear afiches, trípticos, bípticos con Publisher desde cero.",Ricardo Naya,"Precio actual
14,99 €
Precio original
89,99 €",3 horas en total10 clasesPrincipiante
"Microsoft Word para principiantes
Herramientas de oficina para crear escritos",Excel Free Blog,"Precio actual
14,99 €
Precio original
59,99 €","4,5 horas en total5 clasesIntermedio"
"Comienza con Excel: Curso destacado para principiantes
Introducción a Excel",Eduardo Mauricio,"Precio actual
14,99 €
Precio original
19,99 €","2,5 horas en total15 clasesPrincipiante"
"EXCEL BASICO DESDE CERO.
Curso Basico de Excel.",Juan Antonio Ventura Machado,"Precio actual
14,99 €
Precio original
19,99 €","6,5 horas en total38 clasesPrincipiante"
"Power Query para Power BI y Excel
Recopila, consolida, adecua y transforma datos con Power Query",Freddy Valderrama,"Precio actual
39,99 €",9 horas en total72 clasesTodos los niveles
"Curso completo de Microsoft Visio Última Versión
Aprende Visio desde lo más básico y crea diagramas para conectar datos en tiempo real",Miguel Angel Franco García,"Precio actual
14,99 €
Precio original
19,99 €",4 horas en total18 clasesPrincipiante
"Excel comercial
Excel comercial y fundamentos teóricos para iniciar el camino a la programación.",Elena Aguiar Rodríguez,"Precio actual
14,99 €
Precio original
54,99 €",3 horas en total20 clasesTodos los niveles
"Graficas dinamicas en Excel y formatos condicional a tablas
Aprende a crear y combinar graficas con formatos condicionales, funciones y tablas, trucos de graficas y mas",Ing. Víctor Hugo Ayohua Juárez,"Precio actual
24,99 €",2 horas en total11 clasesIntermedio
"Google Sheets - Hojas de cálculo - Nivel intermedio
Los mejores tips, sin rellenos innecesarios, directo al grano.",Edder Rodriguez,"Precio actual
14,99 €
Precio original
49,99 €",3 horas en total28 clasesIntermedio
"SAP Tips Imprescindibles
Aprende los mejores Tips de SAP",Ivan AlsiGo,"Precio actual
14,99 €
Precio original
94,99 €",12 horas en total46 clasesTodos los niveles
"Microsoft Project 2019 y Power Bi
Gestión de Proyectos con Microsoft Project 2019",Jose Gregorio Guevara Liendo,"Precio actual
14,99 €
Precio original
19,99 €","7,5 horas en total62 clasesTodos los niveles"
"Gestion de Proyectos Oracle Primavera P6 ver 21 y Power BI
Aprende desde cero a nivel experto a manejar Primavera P6 versión 21",Jose Gregorio Guevara Liendo,"Precio actual
14,99 €
Precio original
19,99 €",33 minutos en total5 clasesTodos los niveles
"TYPINATOR | Automatización de expansión de texto en MacOS
Curso de introducción al uso de Typinator en MacOS para ser más productivo con el uso rutinario de textos en el trabajo",Miguel Aspiazu,"Precio actual
14,99 €
Precio original
19,99 €",2 horas en total9 clasesPrincipiante
