Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Aprende Notion desde cero
Organiza toda tu vida con Notion",Camilo Medina,15 horas en total,56,Todos los niveles,"14,99 €","29,99 €"
"Word 2021, Word 365 online y Word móvil desde cero a experto
Aprende todos los secretos de Microsoft Word Offline y Online",Dario Hernán Tarnowski,2 horas en total,18,Todos los niveles,"14,99 €","24,99 €"
"Ponte en marcha con Excel
Pierde el miedo a Excel en una sola tarde",Francisco Moreno Bahamondes,"1,5 horas en total",19,Todos los niveles,"19,99 €",
"Notion
Organízate mejor con Notion",Jherson Sanchez,"5,5 horas en total",55,Todos los niveles,"14,99 €","94,99 €"
"Curso completo de Notion
Una visita guiada, paso a paso a través de Notion",Adalberto Torrero,4 horas en total,55,Todos los niveles,"14,99 €","79,99 €"
"Lo nuevo de las aplicaciones de Microsoft 365
Esta formación cubre las nuevas funcionalidades de las aplicaciones de Microsoft 365 y Office 2019.",Yoney Gallardo,6 horas en total,48,Todos los niveles,"14,99 €","19,99 €"
"Power Virtual Agents - Chatbots sin programar con Microsoft
Crea chatbots y agentes conversacionales IA con Power Virtual Agents, una herramienta de la Microsoft Power Platform",Francisco Moreno Bahamondes,3 horas en total,30,Intermedio,"19,99 €",
"Curso de PowerPoint 2021
Curso completo de PowerPoint, más de 10 diapositivas de presentación de PowerPoint 2021. Aprende Microsoft Powerpoint",DANNY J. CASTILLA,"3,5 horas en total",51,Principiante,"14,99 €","19,99 €"
"Aprende Articulate Storyline 360 jugando y en español
Diviertete aprendiendo las herramientas esenciales de Articulate Storyline 360 para crear un juego",Elvis Carpio,9 horas en total,102,Todos los niveles,"14,99 €","34,99 €"
"Excel Completo: Aprende con Ejercicios Reales
Curso Completo de Microsoft Office Excel 2022",Excel Free Blog,3 horas en total,32,Principiante,"14,99 €","44,99 €"
"Google sheets: Empieza desde cero
Conviértete en un gurú de Google sheets de forma sencilla y mediante ejemplos reales",Yoney Gallardo,3 horas en total,47,Todos los niveles,"14,99 €","19,99 €"
"Curso de Word | Domínalo ahora
No te quedes atrás | Domina Word Hoy",Jose Luis Soto,"2,5 horas en total",18,Todos los niveles,"14,99 €","19,99 €"
"Word Basico Hasta Avanzado
WORDCalificación: 0,0 de 5",Jacobo Licon,"3,5 horas en total",13,Todos los niveles,"14,99 €","54,99 €"
