Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Como crear un plugin para Wordpress: The Right Way
Creacion de codigo PHP nivel intermedio",Francisco Javier Arce Anguiano,"6,5 horas en total",25,Experto,"24,99 €","29,99 €"
"Como adaptar AdminLTE 2 y 3 en Codeigniter 4
Aprende como adaptar las plantillas de AdminLTE en su versión 2 y 3 en Codeigniter 4",Apasoft Training,"2,5 horas en total",32,Todos los niveles,"15,99 €","19,99 €"
"Crea tu primer Juego en Javascript
Aprende a programar Juegos en JS. Control de movimientos DE personajes, creación de niveles , dificultades y mucho más!","KNOWMENT Formación, consultoría y coaching","4,5 horas en total",44,Todos los niveles,"15,99 €","19,99 €"
"Crear un ecommerce FULLSTACK con LARAVEL Y ANGULAR
Crea tu propia tienda online full stack con LARAVEL, ANGULAR , MYSQL, JWT, PAYPAL y CULQI + Deploy DigitalOceans",Francisco Javier Arce Anguiano,"3,5 horas en total",34,Todos los niveles,"15,99 €","19,99 €"
"Curso raspberry y Arduino, controla todo desde tu teléfono
Conocimiento de Arduino y Raspberry | desarrollo de apicaciones moviles con Xamarin Forms y Firebase",Pixel Pro Web,"3,5 horas en total",18,Intermedio,"19,99 €","24,99 €"
".NET MAUI desde las bases hasta Profesional | Android | IOS
Construye Aplicaciones Moviles con .NET MAUI | Integrando bases de datos| Entity Framework | Rest Services | Security",Luis Alejandro Vázquez Muñiz,"2,5 horas en total",7,Intermedio,"14,99 €","19,99 €"
"Generar y Leer Código QR y BarCode en Net Core y JavaScript
Aprende a crear , descargar , imprimir , leer codigos QR y BarCode en Net Core con ejercicios prácticos",Yirsis Serrano,"4,5 horas en total",28,Intermedio,"14,99 €","94,99 €"
"OWASP, seguridad web
Detecta, soluciona, replica y entiende los ataques web más comunes",Kariel Granados Orozco,"36,5 horas en total",134,Intermedio,"14,99 €","19,99 €"
"Proyecto Práctico Backend + Frontend con VUE y Laravel
Crearemos un sistema usando Backend y Frontend con Laravel, MySQL y VUE para gestión académica.",Diego Arca,1 hora en total,7,Principiante,"14,99 €","19,99 €"
"Fundamentos de SQL en Oracle para Empresas y Desarrollo
SQL Fundamentals curso especializado de lenguaje para empresas y equipos de desarrollo",Oscar Uh,"17,5 horas en total",101,Principiante,"14,99 €","34,99 €"
"Crea un videojuego con Unity 2D y C sharp desde cero
Aprende a programar y al mismo tiempo crea juegos 2D con Unity paso a paso con ejemplos prácticos y sencillos",Manuel Martín,"4,5 horas en total",72,Todos los niveles,"14,99 €","94,99 €"
"Aprende Lenguaje C# de CERO a EXPERTO
Aprende a programar en C# sin ningún conocimiento previo",Freddy Aguilar Rojas,6 horas en total,84,Intermedio,"14,99 €","49,99 €"
"Programación cuántica para programadores no cuánticos
Simular mediante programación en java un programa cuántico",Yudner Paredes,"3,5 horas en total",24,Todos los niveles,"14,99 €","19,99 €"
"HTML & CSS INTENSIVO (Desde cero a experto).
Aprenderas a crear paginas web modernas, con las mejores practicas.",Master Class,"2,5 horas en total",35,Principiante,"14,99 €","19,99 €"
"Aprende SQL con MySQL
Aprende SQ usando MySQL: uno de los lenguajes más utilizados en entornos empresariales y profesionales",Jonathan Castro,21 horas en total,106,Principiante,"14,99 €","19,99 €"
"Automatización de Pruebas Móviles desde Cero con Appium
Pruebas Automatizadas con Appium desde Cero para dispositivos Android",Walter Nick Suel Arroyo,3 horas en total,28,Principiante,"14,99 €","69,99 €"
"VueJS Desde Cero hasta Profesional 2023
Desarrolla Aplicaciones del mundo real con VueJS, Crea cualquier proyecto que te imagines con el framework JS más amado",Portal Ingeniería | +60.000 Students,"4,5 horas en total",19,Principiante,"14,99 €","29,99 €"
"Docker - Guía práctica de uso para desarrolladores
Dockerfile, Compose, DockerHub, Registros, Despliegues, Volúmenes, Multi-staged builds, Multi architecture builds, y más",Oscar Uh,"11,5 horas en total",98,Todos los niveles,"14,99 €","39,99 €"
"Ecommerce Amazon | ASP.NET Core | React | Clean Architecture
Construye con ASP.NET Core 7 y React un Ecommerce Amazon utilizando Clean Architecture | SQL Server | Authentication",Diego Arca,"19,5 horas en total",287,Todos los niveles,"14,99 €","49,99 €"
"Examen conceptos básicos de JavaScript en epañol.
Aprovecha esta oportunidad para poner a prueba tus habilidades y aprender más sobre JavaScript.",Andres Insuasty,"2,5 horas en total",14,Principiante,"14,99 €","24,99 €"
"PHP 8 y MYSQL el curso práctico y desde cero
El Curso donde aprenderás de una forma muy práctica y desde cero a crear Sitios Web dinámicos con PHP y MySQL",Pablo Hidalgo,"12,5 horas en total",121,Todos los niveles,"14,99 €","19,99 €"
"Java primeros pasos
Java es un lenguaje de programación",Francisco Javier Arce Anguiano,14 horas en total,131,Todos los niveles,"24,99 €","29,99 €"
"Programación en C con juegos y estructuras de datos desde 0
Aprende a programar en C de 0, Juegos y estructuras ;pilas,listas,colas ,arboles ABB,AVL, arboles B, tablas Hash y más!",Apasoft Training,"21,5 horas en total",113,Intermedio,"15,99 €","19,99 €"
"Crea un Juego de Terror con Unreal Engine 5, desde 0 a Pro
Crea un Juego de Terror con Unreal Engine 5, de 0 a Profesional","KNOWMENT Formación, consultoría y coaching",16 horas en total,125,Todos los niveles,"15,99 €","19,99 €"
"Aprendé HTML desde cero
El primer paso en el mundo del Desarrollo Web",Francisco Javier Arce Anguiano,1 hora en total,36,Principiante,"15,99 €","19,99 €"
"Python Curso Completo todo en uno (Django, Pandas, APIs)
Python Curso Completo todo en uno",Pixel Pro Web,51 horas en total,312,Todos los niveles,"19,99 €","24,99 €"
"Aprende Base de Datos SQL Sistema manejador SQL Server
Curso Introductorio de Base de Datos",Andres Insuasty,"8,5 horas en total",20,Todos los niveles,"14,99 €","24,99 €"
"Chat en tiempo real FULLSTACK con LARAVEL Y ANGULAR
En este curso, crearás un chat en tiempo real utilizando Laravel, Angular, WebSockets, Mysql + Deploy DigitalOceans",Diego Arca,"1,5 horas en total",41,Principiante,"39,99 €","49,99 €"
"Crud en Javascript, API fetch, MySQL php y github desde cero
Aprende a crear un sitio web haciendo uso de las herramientas básicas que utilizan los sistemas profesionales actuales.",Alexander Nabí León Rojas,10 horas en total,48,Intermedio,"24,99 €",
"Como Crear Reproductores con HTML5, CSS, JAVASCRIPT
Reproductores con Api Media de Javascript",Academia SOFI - Claudia A. Castillo Chavarro y Juan Manuel Sánchez Barrero,34 minutos en total,13,Principiante,"15,99 €","19,99 €"
"Clean PHP - Código de Calidad y Buenas Prácticas
Código Escalable, Mantenible y Testeable",Big Data IoT Cloud,"15,5 horas en total",81,Principiante,"14,99 €","19,99 €"
"MySql / MariaDB Fulltext Search
Fulltext Search (FTS) permite usar MYSQL o MARIADB con un lenguaje natural para realizar consultas a bases de datos de G",Luciano Parruccia,3 horas en total,14,Todos los niveles,"14,99 €","39,99 €"
"Dapper el Curso Completo y Definitivo
Aprende Dapper en .NET 7 Creando Proyectos: Consultas, Procedimientos Almacenados, Base de Datos, Relaciones, Contrib",Guillermo Visintini,2 horas en total,17,Intermedio,"14,99 €","29,99 €"
"Flutter 3: Aprendamos con proyectos Desde Cero
Adquiere habilidades y domina los widgets en Flutter",Cristino zamora,"10,5 horas en total",83,Intermedio,"14,99 €","59,99 €"
"Desarrollar un Sistema De Citas Médicas en Laravel 8
Desarrollaremos un Sistema desde 0",Luis Fernando Ramos,"2,5 horas en total",19,Experto,"14,99 €","19,99 €"
"Aprende Python: De 0 a PRO de manera totalmente práctica
¡En tan solo 10h!, desde 0 hasta PRO, aprendiendo Webautomation, Webscrapping, API's, Data Science y Machine Learning",Luis orlando muñoz bueno,11 horas en total,93,Todos los niveles,"14,99 €","19,99 €"
"Master en APIs RESTful con NodeJS: Crea 3 backends completos
Crea APIs REST con Node, MongoDB y Express para una app como Spotify, una red social como Twitter y un blog paso a paso",Jose Jaico,16 horas en total,93,Principiante,"15,99 €","19,99 €"
"Web Scraping moderno con Python usando Scrapy Seleniun
Aprende el Lenguaje de Programación python y aplicar webscraping",Luis David Herrera Medina,7 horas en total,51,Todos los niveles,"14,99 €","29,99 €"
"WhatsApp API y C# .NET Chatbot Enviar y recibir mensajes
WhatsApp Cloud API | Meta | C# .NET | Postman | Web App | API | Deploy",Vaxi Drez,10 horas en total,73,Todos los niveles,"14,99 €","19,99 €"
"Aprende a Crear tu primera WebAPP con React y TypeScript
Crea tu primera WebAPP una Pokedex Funcional con React y TypeScript",Licito Hurol,17 horas en total,146,Todos los niveles,"14,99 €","19,99 €"
"AWS Lambda / CloudFormation con Python
Crea APIs en python usando lambda y CloudFormation en AWS",Lord Astra,"3,5 horas en total",28,Experto,"15,99 €","19,99 €"
"Crea páginas web profesionales con wordpress y elementor
Aprende a crear páginas web profesionales sin programar con Wordpress y Elementor",Christian Gámez,"2,5 horas en total",30,Todos los niveles,"14,99 €","94,99 €"
"Desarrollo frontend con Angular
API Rest, JWT, Login, Mapas, Formularios, Rutas, Pipes, Material, Webpay de Transbank, Paypal, Mercado Pago",Francisco Javier Arce Anguiano,"2,5 horas en total",20,Principiante,"24,99 €","29,99 €"
"Diseño de apps | Técnicas avanzadas de App Inventor kodular
Base de datos, Diseños agradables, listview de productos, app tipo negocio, calculos , usando mapas, sensores, tips",Apasoft Training,6 horas en total,27,Intermedio,"15,99 €","19,99 €"
"Curso de Python 3 desde básico
Aprende a programar","KNOWMENT Formación, consultoría y coaching","2,5 horas en total",36,Principiante,"15,99 €","19,99 €"
"Curso Phyton desde 0
Aprende a programar",Francisco Javier Arce Anguiano,"19,5 horas en total",131,Principiante,"15,99 €","19,99 €"
"Aprende a programar en C# desde cero
Aprender a programar en C# desde cero viendo videos y practicando con código",Pixel Pro Web,"6,5 horas en total",34,Intermedio,"19,99 €","24,99 €"
"Desarrollo web desde 0 + Diseño web para defenderse
Curso intensivo donde aprenderás HTML, CSS3, JavaScript, JQuery, Responsividad Y Diseño web básico",Master Class,"1,5 horas en total",12,Principiante,"14,99 €","19,99 €"
"Desarrollando una API REST con Golang y GORM
Aprende a desarrollar una API REST con Golang utilizando los paquetes Fiber, Gorm, Viper y JWT.",Luis Alberto Castillo,"4,5 horas en total",15,Todos los niveles,"14,99 €","19,99 €"
"Programación en Go (Golang)
Programa con el mejor lenguaje, desde cero, con ejercicios de estructuras de datos y algoritmos",Portal Ingeniería | +60.000 Students,"12,5 horas en total",105,Principiante,"14,99 €","19,99 €"
"Programando con Python - parte1
Programando con Python - parte1",Avelino Garcia,45 horas en total,162,Principiante,"14,99 €","24,99 €"
"SQL: Desde cero para principiantes
Jorge, con experiencia en Data Science, te enseñará bases de datos desde cero.",Michael Linares,4 horas en total,31,Intermedio,"14,99 €","19,99 €"
"WebSocket en Asp .Net Core crea aplicaciones en tiempo real
Aprende a crear aplicaciones con Asp .net Core en tiempo real usando Web Socket",Apasoft Training,16 horas en total,119,Todos los niveles,"14,99 €","19,99 €"
"Universidad C - Aprende el Lenguaje C - Para Principiantes!
Aprende a programar en el Lenguaje C desde Cero y de la manera más divertida y sencilla!",Henry Zacarias,5 horas en total,18,Principiante,"14,99 €","19,99 €"
